"flightNumber","period","month","day","airline","departureAirport","arrivalAirport","typeOfFlight","departureWeahter","arrivalWeather","arrivalStatus"
"513","summer","August","Monday","AIZ","TLV","AMS","short","31.62","31.69","on time"
"3452","summer","August","Monday","TVF","ORY","TLV","short","31.62","39.00","on time"
"513","summer","August","Monday","AIZ","TLV","AMS","short","31.62","31.69","on time"
"686","summer","August","Monday","DLH","FRA","TLV","short","24.06","31.62","severely Delayed"
"3452","summer","August","Monday","TVF","ORY","TLV","short","31.62","39.00","on time"
"81","summer","August","Monday","ACA","TLV","YYZ","short","31.62","31.62","Delayed"
"81","summer","August","Monday","ACA","TLV","YYZ","short","31.62","31.62","Delayed"
"382","summer","August","Monday","ELY","MXP","TLV","short","28.58","31.62","on time"
"6473","summer","August","Monday","RYR","TLV","BER","short","30.73","31.62","severely Delayed"
"973","summer","August","Monday","ELY","TLV","DXB","short","31.62","19.21","on time"
"2522","summer","August","Monday","ELY","PRG","TLV","short","16.27","31.62","on time"
"2522","summer","August","Monday","ELY","PRG","TLV","short","16.27","31.62","on time"
"7162","summer","August","Monday","RYR","TLV","VIE","short","31.62","30.64","on time"
"6281","summer","August","Monday","RYR","TLV","BLQ","short","31.62","31.62","on time"
"7162","summer","August","Monday","RYR","TLV","VIE","short","31.62","30.64","on time"
"931","summer","August","Monday","UAE","DXB","TLV","short","31.62","39.00","on time"
"6281","summer","August","Monday","RYR","TLV","BLQ","short","31.62","31.62","on time"
"954","summer","August","Monday","UAL","SFO","TLV","short","31.62","21.23","on time"
"754","summer","August","Monday","BBG","TLV","HER","short","31.62","24.47","on time"
